key,npz_path,lang
channel_1_mSUlRMOlsrA_en_0,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_0.npz,en
channel_1_mSUlRMOlsrA_en_1,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_1.npz,en
channel_1_mSUlRMOlsrA_en_2,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_2.npz,en
channel_1_mSUlRMOlsrA_en_3,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_3.npz,en
channel_1_mSUlRMOlsrA_en_4,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_4.npz,en
channel_1_mSUlRMOlsrA_en_5,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_5.npz,en
channel_1_mSUlRMOlsrA_en_6,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_6.npz,en
channel_1_mSUlRMOlsrA_en_7,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_7.npz,en
channel_1_mSUlRMOlsrA_en_8,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_8.npz,en
channel_1_mSUlRMOlsrA_en_9,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_9.npz,en
channel_1_mSUlRMOlsrA_en_10,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_10.npz,en
channel_1_mSUlRMOlsrA_en_11,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_11.npz,en
channel_1_mSUlRMOlsrA_en_12,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_12.npz,en
channel_1_mSUlRMOlsrA_en_13,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_13.npz,en
channel_1_mSUlRMOlsrA_en_14,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_14.npz,en
channel_1_mSUlRMOlsrA_en_15,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_15.npz,en
channel_1_mSUlRMOlsrA_en_16,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_16.npz,en
channel_1_mSUlRMOlsrA_en_17,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_17.npz,en
channel_1_mSUlRMOlsrA_en_18,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_18.npz,en
channel_1_mSUlRMOlsrA_en_19,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_19.npz,en
channel_1_mSUlRMOlsrA_en_20,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_20.npz,en
channel_1_mSUlRMOlsrA_en_21,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_21.npz,en
channel_1_mSUlRMOlsrA_en_22,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_22.npz,en
channel_1_mSUlRMOlsrA_en_23,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_23.npz,en
channel_1_mSUlRMOlsrA_en_24,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_24.npz,en
channel_1_mSUlRMOlsrA_en_25,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_25.npz,en
channel_1_mSUlRMOlsrA_en_26,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_26.npz,en
channel_1_mSUlRMOlsrA_en_27,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_27.npz,en
channel_1_mSUlRMOlsrA_en_28,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_28.npz,en
channel_1_mSUlRMOlsrA_en_29,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_29.npz,en
channel_1_mSUlRMOlsrA_en_30,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_30.npz,en
channel_1_mSUlRMOlsrA_en_31,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_31.npz,en
channel_1_mSUlRMOlsrA_en_32,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_32.npz,en
channel_1_mSUlRMOlsrA_en_33,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_33.npz,en
channel_1_mSUlRMOlsrA_en_34,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_34.npz,en
channel_1_mSUlRMOlsrA_en_35,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_35.npz,en
channel_1_mSUlRMOlsrA_en_36,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_36.npz,en
channel_1_mSUlRMOlsrA_en_37,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_37.npz,en
channel_1_mSUlRMOlsrA_en_38,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_38.npz,en
channel_1_mSUlRMOlsrA_en_39,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_39.npz,en
channel_1_mSUlRMOlsrA_en_40,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_40.npz,en
channel_1_mSUlRMOlsrA_en_41,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_41.npz,en
channel_1_mSUlRMOlsrA_en_42,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_42.npz,en
channel_1_mSUlRMOlsrA_en_43,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_43.npz,en
channel_1_mSUlRMOlsrA_en_44,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_44.npz,en
channel_1_mSUlRMOlsrA_en_45,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_45.npz,en
channel_1_mSUlRMOlsrA_en_46,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_46.npz,en
channel_1_mSUlRMOlsrA_en_47,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_47.npz,en
channel_1_mSUlRMOlsrA_en_48,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_48.npz,en
channel_1_mSUlRMOlsrA_en_49,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_49.npz,en
channel_1_mSUlRMOlsrA_en_50,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_50.npz,en
channel_1_mSUlRMOlsrA_en_51,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_51.npz,en
channel_1_mSUlRMOlsrA_en_52,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_52.npz,en
channel_1_mSUlRMOlsrA_en_53,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_53.npz,en
channel_1_mSUlRMOlsrA_en_54,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_54.npz,en
channel_1_mSUlRMOlsrA_en_55,./preprocessed_segments/channel_1_mSUlRMOlsrA_en_55.npz,en
